HSL:1082;701;82;Herttoniemi(M)-Roihuvuori-Itäkeskus(M)
HSL:1081;701;81;Kulosaari-Herttoniemi(M)-Länsi-Herttoniemi
HSL:1079;701;79;Herttoniemi (M)-Latokartano-Malmi-Siltamäki-Puistolan asem
HSL:1078;701;78;Rautatientori-Viikki-Latokartano
HSL:9991B;701;991B;Söderkulla-Nikkilä
HSL:2436N;701;436N;Elielinaukio-Myyrmäki-Pähkinärinne-Kalajärvi
HSL:9992B;701;992B;Nikkilä-Hindsby-Massby-Söderkulla
HSL:2436K;701;436K;Elielinaukio-Martinlaakso-Juvanmalmi-Kalajärvi
HSL:9993K;701;993K;Söderkulla-Box-Gesterby-Nikkilä
HSL:9994K;701;994K;Söderkulla-Gumbostrand
HSL:7280;700;280;Helsinki-Turunväylä-Veikkola-
HSL:2436;701;436;Elielinaukio-Martinlaakso-Kalajärvi
HSL:2435;701;435;Elielinaukio-Koskelo
HSL:2582K;701;582K;Espoon keskus-Koskelo-Juvanmalmi-Kalajärvi-Serena
HSL:2582B;701;582B;Espoon keskus-Juvanmalmi-Kalajärvi
HSL:2246KT;701;246KT;Espoon keskus-Kellonummi-Bodom-Röylä
HSL:9975;701;975;Sorsakorpi-Kerava as.-Mattilanpuisto
HSL:9973;701;973;Peijas-Korso-Keravan asema-Virrenkulma
HSL:5565B;701;565B;Jupperi-Jorvi-Espoon keskus
HSL:7962B;700;962B;Aviapolis-Hyrylä-Kerava
HSL:9993;701;993;Söderkulla-Box-Gesterby-Nikkilä
HSL:9994;701;994;Söderkulla-Immersby-Gumbostrand
HSL:9991;701;991;Eriksnäs-Söderkulla-Nikkilä
HSL:9992;701;992;Eriksnäs-Söderkulla-Massby-Hindsby-Nikkilä
HSL:9995;701;995;Söderkulla-Kalkkiranta
HSL:9996;701;996;Söderkulla-Box-Spjutsund-Kitö
HSL:9989;701;989;Pornainen-Järvenpää as.
HSL:4711K;701;711K;Kuninkaanmäki-Sotunki-Tikkurila
HSL:9982;701;982;Nikkilä-Neulasniitty-Talma
HSL:9986;701;986;Nikkilä-Etelä-Paippinen-Järvenpään asema
HSL:9987;701;987;Nikkilä-Pornainen-Järvenpään asema
HSL:9984;701;984;Hindsby (Knuters)-Nikkilä-Talma
HSL:9985;701;985;Nikkilä-Talma-Keravan asema
HSL:4713B;704;713B;Hakunilan palvelulinja
HSL:9978;701;978;Kaskela-Kytömaa-Terveyskeskus
HSL:7355;700;355;Helsinki-Klaukkala
HSL:7346;700;346;Helsinki-Kalajärvi-(Vihti)
HSL:4717A;701;717A;Rautatientori-Jakomäki-Hakunila-Sotunki
HSL:2502;701;502;Merihaka-Meilahti-Munkkiniemi-Leppävaara
HSL:2533;701;533;Vanhakartano-Matinkylä
HSL:4719K;701;719K;Nybygget-Länsisalmi-Hakunila
HSL:4717N;701;717N;Rautatientori-Jakomäki-Hakunila-Kuninkaanmäki
HSL:4719B;701;719B;Länsisalmi-Hakunila
HSL:2122;701;122;Kamppi-Friisilänaukio
HSL:2121;701;121;Kamppi-Kuitinmäki
HSL:2119;704;119;Tapiola-Niittykumpu
HSL:2117;704;117;Tapiola-Aarnivalkea-Itäranta-Tapiola
HSL:2116;704;116;Tapiola-Pohjois-Tapiola
HSL:2112;701;112;Kamppi-Matinkylä
HSL:2065K;701;65K;Espoonlahti-Saunalahti-Vanttila-Kauklahti-Espoonkartano
HSL:7989HJ;700;989HJ;Pornainen-Halkia-Järvenpää as.
HSL:2111;701;111;Kamppi-Westend-Haukilahti
HSL:2110;701;110;Kamppi-Leppävaara
HSL:2107;701;107;Kamppi-Tapiola-Orion-Suurpelto
HSL:2106;701;106;Kamppi-Leppävaara
HSL:2105;701;105;Kamppi-Mankkaa
HSL:2103;701;103;Kamppi-Otaniemi-Pohjois-Tapiola
HSL:2102;701;102;Kamppi-Otaniemi
HSL:2109;701;109;Kamppi-Jorvi
HSL:2143;701;143;Kamppi-Soukka
HSL:2138;704;138;Tynnyripuisto-Nuottaniemi-Matinkallio
HSL:2137;704;137;Tynnyripuisto-Matinkallio-Piispankylä-Kuitinmäki
HSL:2195N;701;195N;Kamppi-Teekkarikylä-Nöykkiö-Latokaski
HSL:2132;701;132;Kamppi-Matinkylä-Friisilänaukio
HSL:4739;701;739;Rautatientori-Päiväkumpu-Korso-Pohjois-Nikinmäki
HSL:4731;701;731;Rautatientori-Kulomäki
HSL:4735;701;735;Tikkurila-Korso-Mikkola
HSL:4736;701;736;Tikkurila-Vierumäki
HSL:4737;701;737;Pohjois-Nikinmäki-Nikinmäki-Mikkola-Korso
HSL:3001D;109;D;Helsinki-Riihimäki
HSL:3001K;109;K;Helsinki-Kerava
HSL:3001I;109;I;Helsinki-Helsinki
